stop_id,stop_code,stop_name,tts_stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding,level_id,platform_code
"MOBIITI:Quay:112013","Sul01","Mounet Sully",,"abribus MDO",45.193810,0.691448,,,0,"MOBIITI:StopPlace:77258",,1,,
"MOBIITI:Quay:112255","GouAr02","Gour de l'Arche-LEP",,,45.200073,0.675337,,,0,"MOBIITI:StopPlace:77419",,2,,
"MOBIITI:Quay:112016","PCa01","Parking Campus",,"poteau",45.178806,0.774132,,,0,"MOBIITI:StopPlace:77260",,1,,
"MOBIITI:Quay:112258","Agofe01","Agonac - Salle des fetes",,,45.289005,0.752599,,,0,"MOBIITI:StopPlace:77422",,2,,
"MOBIITI:Quay:112015","ITi02","Imprimerie du Timbre",,"poteau",45.181561,0.769697,,,0,"MOBIITI:StopPlace:77259",,2,,
"MOBIITI:Quay:112257","AgonB01","Agonac Bourg",,,45.291321,0.751075,,,0,"MOBIITI:StopPlace:77421",,2,,
"MOBIITI:Quay:112010","Ver03","Jules Verne",,"poteau",45.190887,0.694794,,,0,"MOBIITI:StopPlace:77257",,1,,
"MOBIITI:Quay:112252","ChEvB02","Chateau l'Eveque Bourg",,,45.244251,0.686893,"",,0,"MOBIITI:StopPlace:59400",,2,,
"MOBIITI:Quay:112251","ChEvB01","Chateau l'Eveque Bourg",,,45.243904,0.686979,"",,0,"MOBIITI:StopPlace:59400",,2,,
"MOBIITI:Quay:112493","CenTr1","Cendrieux - Le Treuilh",,,45.003384,0.810138,,,0,"MOBIITI:StopPlace:77607",,2,,
"MOBIITI:Quay:112012","Sul02","Mounet Sully",,"abribus MDO",45.193855,0.691597,,,0,"MOBIITI:StopPlace:77258",,1,,
"MOBIITI:Quay:112254","GouAr01","Gour de l'Arche-LEP",,,45.199749,0.675495,,,0,"MOBIITI:StopPlace:77419",,2,,
"MOBIITI:Quay:112011","Ver04","Jules Verne",,"poteau",45.190395,0.694807,,,0,"MOBIITI:StopPlace:77257",,1,,
"MOBIITI:Quay:112253","Preys01","Preyssac",,,45.260433,0.703892,,,0,"MOBIITI:StopPlace:77418",,2,,
"MOBIITI:Quay:112018","FBo01","Firmin Bouvier",,"poteau",45.178013,0.767814,,,0,"MOBIITI:StopPlace:77261",,2,,
"MOBIITI:Quay:112017","FBo02","Firmin Bouvier",,"poteau",45.177933,0.767760,,,0,"MOBIITI:StopPlace:77261",,2,,
"MOBIITI:Quay:112259","Broud02","Les Broudissoux",,,45.263428,0.751477,,,0,"MOBIITI:StopPlace:77423",,2,,
"MOBIITI:Quay:112019","Hal01","Halte ferroviaire Boulazac",,"abribus MDO",45.171844,0.773019,,,0,"MOBIITI:StopPlace:77262",,1,,
"MOBIITI:Quay:112250","GraCr01","Granges Crolus",,,45.252106,0.690491,,,0,"MOBIITI:StopPlace:77416",,2,,
"MOBIITI:Quay:112003","COU02","Courbet",,"poteau",45.181332,0.707222,,,0,"MOBIITI:StopPlace:77254",,2,,
"MOBIITI:Quay:112245","JeaMo03","Jean Moulin",,,45.192986,0.687890,"",,0,"MOBIITI:StopPlace:77413",,2,,
"MOBIITI:Quay:112002","Dur01","Charles Durand",,"poteau",45.179619,0.715664,,,0,"MOBIITI:StopPlace:77253",,2,,
"MOBIITI:Quay:112244","JeaMo01","Jean Moulin",,,45.192039,0.687866,"",,0,"MOBIITI:StopPlace:77413",,2,,
"MOBIITI:Quay:112005","cam01","Campniac",,"poteau",45.176643,0.713326,,,0,"MOBIITI:StopPlace:77255",,2,,
"MOBIITI:Quay:112247","MouFo02","Les Moulineaux - La foret",,,45.176712,0.616536,,,0,"MOBIITI:StopPlace:77414",,2,,
"MOBIITI:Quay:112004","COU01","Courbet",,"poteau",45.181602,0.706994,,,0,"MOBIITI:StopPlace:77254",,2,,
"MOBIITI:Quay:112246","JeaMo02","Jean Moulin",,,45.192181,0.686968,"",,0,"MOBIITI:StopPlace:77413",,2,,
"MOBIITI:Quay:112241","PtCer01","Petit Cerf",,,45.142609,0.677264,,,0,"MOBIITI:StopPlace:77411",,2,,
"MOBIITI:Quay:112240","Laugl02","Lauglusie",,,45.124817,0.668253,,,0,"MOBIITI:StopPlace:77410",,2,,
"MOBIITI:Quay:112001","Dur02","Charles Durand",,"poteau",45.179550,0.715664,,,0,"MOBIITI:StopPlace:77253",,2,,
"MOBIITI:Quay:112243","BoisM02","Les bois du Moulin",,,45.169346,0.604952,,,0,"MOBIITI:StopPlace:77412",,2,,
"MOBIITI:Quay:112000","Hel01","Héliodore",,"poteau",45.145351,0.746190,,,0,"MOBIITI:StopPlace:77252",,2,,
"MOBIITI:Quay:112242","BoisM01","Les bois du Moulin",,,45.169483,0.605378,,,0,"MOBIITI:StopPlace:77412",,2,,
"MOBIITI:Quay:112007","Cit01","Pont de la Cité",,"abribus SES",45.184902,0.699493,,,0,"MOBIITI:StopPlace:77256",,2,,
"MOBIITI:Quay:112249","Armag01","Les Armagnacs",,,45.249283,0.686690,,,0,"MOBIITI:StopPlace:77415",,2,,
"MOBIITI:Quay:112006","Cit02","Pont de la Cité",,"poteau",45.185207,0.700039,,,0,"MOBIITI:StopPlace:77256",,1,,
"MOBIITI:Quay:112248","MouFo01","Les Moulineaux - La foret",,,45.176666,0.616687,,,0,"MOBIITI:StopPlace:77414",,2,,
"MOBIITI:Quay:112009","Ver02","Jules Verne",,"poteau",45.190060,0.694852,,,0,"MOBIITI:StopPlace:77257",,1,,
"MOBIITI:Quay:112008","Ver01","Jules Verne",,"abribus MDO",45.190140,0.694026,,,0,"MOBIITI:StopPlace:77257",,1,,
"MOBIITI:Quay:112234","Girat01","Giratou",,,45.141579,0.802730,,,0,"MOBIITI:StopPlace:77405",,2,,
"MOBIITI:Quay:112233","Mrx01","Marsaneix Bourg",,"abribus SES",45.098152,0.784034,,,0,"MOBIITI:StopPlace:77404",,2,,
"MOBIITI:Quay:112236","CtrCo01","Centre de Communication",,,45.179966,0.724813,,,0,"MOBIITI:StopPlace:2839",,2,,
"MOBIITI:Quay:112235","CtrCo02","Centre de Communication",,,45.179935,0.724549,,,0,"MOBIITI:StopPlace:2839",,2,,
"MOBIITI:Quay:112230","FontM01","Fontaine de Mulet",,,45.102398,0.776595,,,0,"MOBIITI:StopPlace:77402",,2,,
"MOBIITI:Quay:112232","Tuili02","La Tuiliere",,,45.110420,0.774645,,,0,"MOBIITI:StopPlace:77403",,2,,
"MOBIITI:Quay:112231","Tuili01","La Tuiliere",,,45.110336,0.774790,,,0,"MOBIITI:StopPlace:77403",,2,,
"MOBIITI:Quay:112238","Mneri01","Les Moulineries",,,45.116520,0.629120,,,0,"MOBIITI:StopPlace:77408",,2,,
"MOBIITI:Quay:112237","rteBr01","94 rte de Bruyols",,,45.116554,0.622403,,,0,"MOBIITI:StopPlace:77407",,2,,
"MOBIITI:Quay:112239","CouGu01","Coursac - Guillaumias",,,45.115829,0.617617,,,0,"MOBIITI:StopPlace:77409",,2,,
"MOBIITI:Quay:112223","DouMA01","La Douze - Les Martinies",,,45.089375,0.828669,,,0,"MOBIITI:StopPlace:77398",,2,,
"MOBIITI:Quay:112222","DouHv1","La Douze - Les Hautes Versannes",,,45.088348,0.853414,,,0,"MOBIITI:StopPlace:77397",,2,,
"MOBIITI:Quay:112225","Rac02","Jean Racine",,"poteau",45.162689,0.740030,,,0,"MOBIITI:StopPlace:77399",,2,,
"MOBIITI:Quay:112224","Rac01","Jean Racine",,"poteau",45.162319,0.740040,,,0,"MOBIITI:StopPlace:77399",,2,,
"MOBIITI:Quay:112221","DouCh1","La Douze - Chateau d'Eau",,,45.063519,0.845148,,,0,"MOBIITI:StopPlace:77396",,2,,
"MOBIITI:Quay:112220","DouCa1","La Douze - Casteldeche",,,45.058498,0.871378,,,0,"MOBIITI:StopPlace:77395",,2,,
"MOBIITI:Quay:112227","TUL01","Le Tuloup",,"poteau",45.174580,0.733290,,,0,"MOBIITI:StopPlace:77400",,2,,
"MOBIITI:Quay:112226","TUL02","Le Tuloup",,"poteau",45.174961,0.733210,,,0,"MOBIITI:StopPlace:77400",,2,,
"MOBIITI:Quay:112229","VIO01","Les Violettes",,"poteau",45.171268,0.735770,,,0,"MOBIITI:StopPlace:77401",,2,,
"MOBIITI:Quay:112228","VIO02","Les Violettes",,"poteau",45.171291,0.735764,,,0,"MOBIITI:StopPlace:77401",,2,,
"MOBIITI:Quay:112058","Par02","Stade Pareau",,"poteau",45.175220,0.690390,,,0,"MOBIITI:StopPlace:77282",,2,,
"MOBIITI:Quay:112057","Par01","Stade Pareau",,"abribus SES",45.175446,0.690504,,,0,"MOBIITI:StopPlace:77282",,2,,
"MOBIITI:Quay:112299","Piles01","Les Piles",,,45.252258,0.811290,"",,0,"MOBIITI:StopPlace:77454",,2,,
"MOBIITI:Quay:112059","Sar01","Sarrazi",,"",45.164211,0.682913,"",,0,"MOBIITI:StopPlace:77283",,2,,
"MOBIITI:Quay:112054","Lya02","Maréchal Lyautey",,"poteau",45.182934,0.695615,,,0,"MOBIITI:StopPlace:77280",,2,,
"MOBIITI:Quay:112296","SorBo1","Sorges - Bourg Place Mallet",,,45.307835,0.871003,,,0,"MOBIITI:StopPlace:77451",,2,,
"MOBIITI:Quay:112053","Lya01","Maréchal Lyautey",,"poteau",45.182652,0.695653,,,0,"MOBIITI:StopPlace:77280",,2,,
"MOBIITI:Quay:112295","SorCh1","Sorges - Les Chabannes",,,45.285629,0.850295,,,0,"MOBIITI:StopPlace:77450",,2,,
"MOBIITI:Quay:112056","Pag01","Pagot",,"abribus MDO",45.177830,0.692580,,,0,"MOBIITI:StopPlace:77281",,1,,
"MOBIITI:Quay:112298","Lacom01","Lacombe",,,45.236084,0.784248,,,0,"MOBIITI:StopPlace:77453",,2,,
"MOBIITI:Quay:112055","Pag02","Pagot",,"Abribus MDO",45.177761,0.692250,,,0,"MOBIITI:StopPlace:77281",,1,,
"MOBIITI:Quay:112297","Lumin01","La Luminade",,,45.241982,0.782296,,,0,"MOBIITI:StopPlace:77452",,2,,
"MOBIITI:Quay:112050","CLA02","Les Clairières",,"abribus SES",45.158379,0.683677,,,0,"MOBIITI:StopPlace:77278",,2,,
"MOBIITI:Quay:112292","SorCl1","Sorges - Le Clapier",,,45.300648,0.860647,,,0,"MOBIITI:StopPlace:77447",,2,,
"MOBIITI:Quay:116891","Sil01","Le Sîlot",,,45.197231,0.691900,,,0,"MOBIITI:StopPlace:81106",,0,,
"MOBIITI:Quay:112291","StAug02","St Augutre",,,45.183022,0.680283,"",,0,"MOBIITI:StopPlace:77286",,2,,
"MOBIITI:Quay:112052","VER01","Les Vergers",,"poteau",45.156300,0.684949,,,0,"MOBIITI:StopPlace:77279",,2,,
"MOBIITI:Quay:112294","Sor4r1","Sorges - Les 4 routes",,,45.268536,0.833455,,,0,"MOBIITI:StopPlace:77449",,2,,
"MOBIITI:Quay:116890","BreLa2","Breuilh - Les Landes",,,45.071484,0.738029,,,0,"MOBIITI:StopPlace:77507",,0,,
"MOBIITI:Quay:112051","VER02","Les Vergers",,"abribus SES",45.156128,0.685228,,,0,"MOBIITI:StopPlace:77279",,2,,
"MOBIITI:Quay:112293","SorPa1","Sorges - Les Palissous",,,45.308674,0.865032,,,0,"MOBIITI:StopPlace:77448",,2,,
"MOBIITI:Quay:112290","Andri01","Les Andrieux",,,45.145409,0.665576,,,0,"MOBIITI:StopPlace:77445",,2,,
"MOBIITI:Quay:112047","Vil01","Chamiers Mairie",,"abribus MDO",45.190987,0.690962,,,0,"MOBIITI:StopPlace:77277",,1,,
"MOBIITI:Quay:112289","PlCer01","Place du Cerf",,,45.145157,0.690422,,,0,"MOBIITI:StopPlace:77444",,2,,
"MOBIITI:Quay:112046","LAB02","Jean Labutie",,"poteau",45.187691,0.692767,,,0,"MOBIITI:StopPlace:77276",,2,,
"MOBIITI:Quay:112049","CLA01","Les Clairières",,"poteau",45.158543,0.684224,,,0,"MOBIITI:StopPlace:77278",,2,,
"MOBIITI:Quay:112048","Vil02","Chamiers Mairie",,"poteau",45.191128,0.691051,,,0,"MOBIITI:StopPlace:77277",,1,,
"MOBIITI:Quay:112043","VED01","Jules Védrines",,"poteau",45.188618,0.690911,,,0,"MOBIITI:StopPlace:77275",,2,,
